Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_FindTreatmentProvider_StandalonSearch,Chrome 66.0.3359.181,,2018-06-03 16:01:02,2018-06-03 16:01:14,11.847s,FAILED
,,,,,,
Test Cases/sublocadePatient,Chrome 66.0.3359.181,,2018-06-03 16:01:02,2018-06-03 16:01:14,11.444s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-03 16:01:03,2018-06-03 16:01:04,0.892s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-03 16:01:04,2018-06-03 16:01:06,2.272s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 16:01:06,2018-06-03 16:01:07,0.500s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-06-03 16:01:07,2018-06-03 16:01:08,1.040s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-03 16:01:08,2018-06-03 16:01:08,0.125s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 16:01:08,2018-06-03 16:01:08,0.122s,PASSED
executeJavaScript,Chrome 66.0.3359.181,,2018-06-03 16:01:08,2018-06-03 16:01:08,0.063s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 16:01:08,2018-06-03 16:01:14,5.934s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-03 16:01:14,2018-06-03 16:01:14,0.052s,PASSED
"Statement - assert com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle() == ""FPO - treatment-journey fail""",Chrome 66.0.3359.181,,2018-06-03 16:01:14,2018-06-03 16:01:14,0.048s,PASSED
